scenario_id,sample_index,option,connectedness,include_controversial,include_extended,include_network,occupants,occupant_age,occupant_job,occupant_health,occupant_criminal,occupant_legal_fault,occupant_risk,occupant_pregnant,occupant_species,occupant_network,pedestrians,pedestrian_age,pedestrian_job,pedestrian_health,pedestrian_criminal,pedestrian_legal_fault,pedestrian_risk,pedestrian_pregnant,pedestrian_species,pedestrian_network,severity,certainty,total_people,life_years_lost,expected_harm
scenario-0,0,option1,None (Demographic-Blind),0,0,0,3,64,skilled,healthy,minor,minorViolation,consented,0,petCat,primaryCaregiver,1,9,professional,terminal,homicide,dui,innocent,0,livestock,soleProvider,moderate,93,4,27.8,25.854
scenario-0,0,option2,None (Demographic-Blind),0,0,0,1,68,professional,chronic,minor,dui,extreme,0,petDog,parent,0,0,average,healthy,none,legal,normal,0,human,none,critical,84,1,13.6,11.424
scenario-0,0,option1,Low (Age Only),0,0,0,3,64,skilled,healthy,minor,minorViolation,consented,0,petCat,primaryCaregiver,1,9,professional,terminal,homicide,dui,innocent,0,livestock,soleProvider,moderate,93,4,27.8,25.854
scenario-0,0,option2,Low (Age Only),0,0,0,1,68,professional,chronic,minor,dui,extreme,0,petDog,parent,0,0,average,healthy,none,legal,normal,0,human,none,critical,84,1,13.6,11.424
scenario-0,0,option1,Medium (+ Occupation/Health/Criminal),1,0,0,3,64,skilled,healthy,minor,minorViolation,consented,0,petCat,primaryCaregiver,1,9,professional,terminal,homicide,dui,innocent,0,livestock,soleProvider,moderate,93,4,18.9454,17.6192
scenario-0,0,option2,Medium (+ Occupation/Health/Criminal),1,0,0,1,68,professional,chronic,minor,dui,extreme,0,petDog,parent,0,0,average,healthy,none,legal,normal,0,human,none,critical,84,1,9.5962,8.0608
scenario-0,0,option1,High (+ Legal/Pregnancy/Species),1,1,0,3,64,skilled,healthy,minor,minorViolation,consented,0,petCat,primaryCaregiver,1,9,professional,terminal,homicide,dui,innocent,0,livestock,soleProvider,moderate,93,4,0.645,0.5999
scenario-0,0,option2,High (+ Legal/Pregnancy/Species),1,1,0,1,68,professional,chronic,minor,dui,extreme,0,petDog,parent,0,0,average,healthy,none,legal,normal,0,human,none,critical,84,1,0.1439,0.1209
scenario-0,0,option1,Maximum (+ Network Effects),1,1,1,3,64,skilled,healthy,minor,minorViolation,consented,0,petCat,primaryCaregiver,1,9,professional,terminal,homicide,dui,innocent,0,livestock,soleProvider,moderate,93,4,0.9611,0.8938
scenario-0,0,option2,Maximum (+ Network Effects),1,1,1,1,68,professional,chronic,minor,dui,extreme,0,petDog,parent,0,0,average,healthy,none,legal,normal,0,human,none,critical,84,1,0.1871,0.1572
scenario-1,1,option1,None (Demographic-Blind),0,0,0,0,0,average,healthy,none,legal,normal,0,human,none,3,55,lifesaving,chronic,property,legal,extreme,0,human,soleParent,moderate,80,3,18,14.4
scenario-1,1,option2,None (Demographic-Blind),0,0,0,1,67,professional,chronic,minor,legal,extreme,0,petDog,soleProvider,0,0,average,healthy,none,legal,normal,0,human,none,fatal,100,1,18,18
scenario-1,1,option1,Low (Age Only),0,0,0,0,0,average,healthy,none,legal,normal,0,human,none,3,55,lifesaving,chronic,property,legal,extreme,0,human,soleParent,moderate,80,3,18,14.4
scenario-1,1,option2,Low (Age Only),0,0,0,1,67,professional,chronic,minor,legal,extreme,0,petDog,soleProvider,0,0,average,healthy,none,legal,normal,0,human,none,fatal,100,1,18,18
scenario-1,1,option1,Medium (+ Occupation/Health/Criminal),1,0,0,0,0,average,healthy,none,legal,normal,0,human,none,3,55,lifesaving,chronic,property,legal,extreme,0,human,soleParent,moderate,80,3,14.904,11.9232
scenario-1,1,option2,Medium (+ Occupation/Health/Criminal),1,0,0,1,67,professional,chronic,minor,legal,extreme,0,petDog,soleProvider,0,0,average,healthy,none,legal,normal,0,human,none,fatal,100,1,12.7008,12.7008
scenario-1,1,option1,High (+ Legal/Pregnancy/Species),1,1,0,0,0,average,healthy,none,legal,normal,0,human,none,3,55,lifesaving,chronic,property,legal,extreme,0,human,soleParent,moderate,80,3,7.452,5.9616
scenario-1,1,option2,High (+ Legal/Pregnancy/Species),1,1,0,1,67,professional,chronic,minor,legal,extreme,0,petDog,soleProvider,0,0,average,healthy,none,legal,normal,0,human,none,fatal,100,1,0.3175,0.3175
scenario-1,1,option1,Maximum (+ Network Effects),1,1,1,0,0,average,healthy,none,legal,normal,0,human,none,3,55,lifesaving,chronic,property,legal,extreme,0,human,soleParent,moderate,80,3,11.9232,9.5386
scenario-1,1,option2,Maximum (+ Network Effects),1,1,1,1,67,professional,chronic,minor,legal,extreme,0,petDog,soleProvider,0,0,average,healthy,none,legal,normal,0,human,none,fatal,100,1,0.4445,0.4445
scenario-2,2,option1,None (Demographic-Blind),0,0,0,2,49,skilled,chronic,none,legal,consented,0,human,primaryCaregiver,0,0,average,healthy,none,legal,normal,0,human,none,critical,71,2,57.6,40.896
scenario-2,2,option2,None (Demographic-Blind),0,0,0,3,21,skilled,chronic,property,legal,risky,0,petCat,partner,5,84,caregiver,chronic,activeCrime,legal,risky,0,petCat,primaryCaregiver,serious,81,8,98.5,79.785
scenario-2,2,option1,Low (Age Only),0,0,0,2,49,skilled,chronic,none,legal,consented,0,human,primaryCaregiver,0,0,average,healthy,none,legal,normal,0,human,none,critical,71,2,57.6,40.896
scenario-2,2,option2,Low (Age Only),0,0,0,3,21,skilled,chronic,property,legal,risky,0,petCat,partner,5,84,caregiver,chronic,activeCrime,legal,risky,0,petCat,primaryCaregiver,serious,81,8,98.5,79.785
scenario-2,2,option1,Medium (+ Occupation/Health/Criminal),1,0,0,2,49,skilled,chronic,none,legal,consented,0,human,primaryCaregiver,0,0,average,healthy,none,legal,normal,0,human,none,critical,71,2,38.016,26.9914
scenario-2,2,option2,Medium (+ Occupation/Health/Criminal),1,0,0,3,21,skilled,chronic,property,legal,risky,0,petCat,partner,5,84,caregiver,chronic,activeCrime,legal,risky,0,petCat,primaryCaregiver,serious,81,8,59.1312,47.8963
scenario-2,2,option1,High (+ Legal/Pregnancy/Species),1,1,0,2,49,skilled,chronic,none,legal,consented,0,human,primaryCaregiver,0,0,average,healthy,none,legal,normal,0,human,none,critical,71,2,34.2144,24.2922
